RFID,"User Name","User Remark","Payment ID",Location,"Source name","Fetch Count","Vol Taken[L]",Balance[L],Datetime
17392543,"BUKATIRA PS_007",,099008007,"Semuto , Nakaseke","Bukatira PS",55,11.91,4887.89,"27-04-2025 16:39"
17392543,"BUKATIRA PS_007",,099008007,"Semuto , Nakaseke","Bukatira PS",54,0,4899.8,"27-04-2025 16:37"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",230,30.57,364.8,"27-04-2025 16:30"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",229,22.78,395.37,"27-04-2025 16:26"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",228,0,418.16,"27-04-2025 16:23"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",228,54.65,418.16,"27-04-2025 16:20"
10010012,"BUKATIRA PS_198",,099008198,"Semuto , Nakaseke","Bukatira PS",227,0,472.8,"27-04-2025 16:13"
14114519,"BUKATIRA PS_015",,099008015,"Semuto , Nakaseke","Bukatira PS",102,23.44,521.67,"27-04-2025 16:06"
14114519,"BUKATIRA PS_015",,099008015,"Semuto , Nakaseke","Bukatira PS",101,0,545.11,"27-04-2025 16:03"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",199,1.64,2608.23,"27-04-2025 15:49"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",198,2.66,2609.87,"27-04-2025 15:48"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",197,0,2612.53,"27-04-2025 15:48"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",197,0,2612.53,"27-04-2025 15:47"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",196,0,2613.15,"27-04-2025 15:47"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",196,2.25,2613.15,"27-04-2025 15:47"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",195,0,2615.39,"27-04-2025 15:46"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",195,1.06,2615.39,"27-04-2025 15:46"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",194,0.95,2616.45,"27-04-2025 15:45"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",193,0.53,2617.4,"27-04-2025 15:45"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",192,0,2617.94,"27-04-2025 15:45"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",192,2.57,2617.94,"27-04-2025 15:44"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",190,0,2621.06,"27-04-2025 15:44"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",189,0,2621.56,"27-04-2025 15:44"
84221162,"BUKATIRA PS_151",,099008151,"Semuto , Nakaseke","Bukatira PS",188,0,2622.62,"27-04-2025 15:43"
